System_ID,Name,Discipline,Plan_Width_in,Notes,Plan_Color
W-CW-01,Cold Water Main,Domestic Water,2,Main cold water supply line,0ea5e9
W-CW-02,Cold Water Branch,Domestic Water,0.75,Branch to fixtures,22d3ee
W-HW-01,Hot Water Main,Domestic Water,2,Main hot water supply line,f97316
W-HW-02,Hot Water Branch,Domestic Water,0.75,Branch to fixtures,fb923c
W-HW-03,Hot Water Recirculation,Domestic Water,0.75,Return loop for hot water,ea580c
W-EQ-01,Water Heater,Domestic Water,0,Gas-fired storage water heater,
W-EQ-02,Booster Pump,Domestic Water,0,Domestic water booster pump,
W-EQ-03,Expansion Tank,Domestic Water,0,Thermal expansion tank,
W-VL-01,Gate Valve,Domestic Water,0,Isolation gate valve,
W-VL-02,Check Valve,Domestic Water,0,Backflow prevention check valve,
W-VL-03,PRV,Domestic Water,0,Pressure reducing valve,
E-PW-01,Power Feeder,Electrical Power,2,Main electrical feeder conduit,
E-PW-02,Branch Circuit,Electrical Power,0.75,120V branch circuit conduit,
E-PW-03,Dedicated Circuit,Electrical Power,1,208V dedicated equipment circuit,
E-LT-01,Lighting Circuit,Lighting,0.75,General lighting branch circuit,
E-LT-02,Emergency Lighting,Lighting,0.75,Emergency egress lighting circuit,
E-LV-01,Low Voltage Conduit,Low Voltage,0.5,Low voltage signal conduit,
E-PN-01,Main Distribution Panel,Electrical Power,0,MDP 480/277V,
E-PN-02,Lighting Panel,Electrical Power,0,LP-1 120/208V lighting panel,
E-PN-03,Power Panel,Electrical Power,0,PP-1 120/208V receptacle panel,
E-PN-04,Transformer,Electrical Power,0,480V to 208/120V step-down,
E-DV-01,Duplex Receptacle,Electrical Power,0,Standard 120V duplex outlet,
E-DV-02,GFCI Receptacle,Electrical Power,0,Ground fault circuit interrupter outlet,
E-DV-03,Single Pole Switch,Electrical Power,0,Light switch single pole,
E-DV-04,3-Way Switch,Electrical Power,0,Light switch 3-way,
E-DV-05,Dimmer Switch,Electrical Power,0,Dimmer light control,
E-DV-06,Junction Box,Electrical Power,0,4x4 junction box,
E-FX-01,2x4 Troffer,Lighting,0,Recessed fluorescent/LED troffer,
E-FX-02,Downlight,Lighting,0,Recessed LED downlight,
E-FX-03,Wall Sconce,Lighting,0,Decorative wall-mount fixture,
E-FX-04,Exit Sign,Lighting,0,Illuminated exit sign,
E-FX-05,Emergency Light,Lighting,0,Battery-backed emergency fixture,
M-SA-01,Supply Air Duct Main,HVAC Duct,24,Main supply air trunk duct,
M-SA-02,Supply Air Duct Branch,HVAC Duct,12,Branch supply duct to diffuser,
M-RA-01,Return Air Duct Main,HVAC Duct,24,Main return air trunk duct,
M-RA-02,Return Air Duct Branch,HVAC Duct,12,Branch return duct,
M-EA-01,Exhaust Air Duct,HVAC Duct,14,General exhaust duct,
M-RF-01,Refrigerant Line,Mechanical,1.5,Refrigerant piping (suction + liquid),
M-EQ-01,Air Handling Unit,Mechanical,0,AHU — central air handler,
M-EQ-02,Rooftop Unit,Mechanical,0,RTU — packaged rooftop unit,
M-EQ-03,Condensing Unit,Mechanical,0,Split system outdoor condenser,
M-EQ-04,VAV Box,Mechanical,0,Variable air volume terminal,
M-EQ-05,Fan Coil Unit,Mechanical,0,Ceiling-mount fan coil,
M-EQ-06,Exhaust Fan,Mechanical,0,Inline or roof exhaust fan,
M-DF-01,Supply Diffuser,Mechanical,0,Square ceiling supply diffuser,
M-DF-02,Linear Slot Diffuser,Mechanical,0,Linear slot supply diffuser,
M-DF-03,Return Air Grille,Mechanical,0,Ceiling return air grille,
M-DF-04,Exhaust Grille,Mechanical,0,Wall exhaust grille,
M-DF-05,Thermostat,Mechanical,0,Zone thermostat / sensor,
P-SW-01,Sanitary Waste Main,Plumbing Waste,4,Building drain — sanitary waste,
P-SW-02,Sanitary Waste Branch,Plumbing Waste,2,Branch waste to fixture,
P-VT-01,Vent Stack,Plumbing Vent,3,Main vent stack through roof,
P-VT-02,Vent Branch,Plumbing Vent,1.5,Branch vent to fixture group,
P-SD-01,Storm Drain Main,Plumbing Drain,6,Storm water main drain,
P-SD-02,Storm Drain Branch,Plumbing Drain,4,Roof drain leader,
P-FX-01,Water Closet,Plumbing,0,Floor-mount toilet (WC),
P-FX-02,Lavatory,Plumbing,0,Wall-mount or counter lavatory,
P-FX-03,Kitchen Sink,Plumbing,0,Double-bowl kitchen sink,
P-FX-04,Mop Sink,Plumbing,0,Floor-mount service sink,
P-FX-05,Floor Drain,Plumbing,0,Floor drain with trap primer,
P-FX-06,Urinal,Plumbing,0,Wall-mount urinal,
P-FX-07,Drinking Fountain,Plumbing,0,Wall-mount drinking fountain,
P-FX-08,Cleanout,Plumbing,0,Cleanout access fitting,
P-FX-09,Grease Interceptor,Plumbing,0,Below-slab grease interceptor,
FP-SM-01,Sprinkler Main,Fire Sprinkler,4,Fire sprinkler main riser,
FP-SM-02,Sprinkler Branch,Fire Sprinkler,1.5,Branch line to heads,
FP-SM-03,Sprinkler Cross Main,Fire Sprinkler,2.5,Cross main distribution,
FP-HD-01,Pendant Head,Fire Sprinkler,0,Standard pendant sprinkler head,
FP-HD-02,Upright Head,Fire Sprinkler,0,Upright sprinkler head,
FP-HD-03,Sidewall Head,Fire Sprinkler,0,Sidewall sprinkler head,
FP-HD-04,Concealed Head,Fire Sprinkler,0,Concealed pendant sprinkler,
FP-DV-01,Fire Alarm Control Panel,Fire Alarm,0,FACP — main fire alarm panel,
FP-DV-02,Pull Station,Fire Alarm,0,Manual pull station,
FP-DV-03,Horn/Strobe,Fire Alarm,0,Notification appliance horn/strobe,
FP-DV-04,Smoke Detector,Fire Alarm,0,Photoelectric smoke detector,
FP-DV-05,Heat Detector,Fire Alarm,0,Rate-of-rise heat detector,
FP-DV-06,Duct Detector,Fire Alarm,0,Duct-mount smoke detector,
FP-DV-07,Fire Extinguisher Cabinet,Fire Alarm,0,Semi-recessed extinguisher cabinet,
FP-DV-08,Standpipe Connection,Fire Alarm,0,Standpipe hose connection,
T-CT-01,Cable Tray Main,Telecom Pathway,6,Main backbone cable tray,
T-CT-02,Cable Tray Branch,Telecom Pathway,4,Branch cable tray to rooms,
T-CD-01,Telecom Conduit,Telecom Pathway,2,EMT conduit for telecom cabling,
T-CD-02,Fiber Conduit,Telecom Pathway,1,Innerduct for fiber optic,
T-OT-01,Data Outlet,Data,0,Cat6A data jack — wall plate,
T-OT-02,Voice Outlet,Voice,0,RJ11 voice jack — wall plate,
T-OT-03,Combo Data/Voice,Data,0,Dual data/voice wall plate,
T-OT-04,Wireless AP,Network,0,Ceiling-mount wireless access point,
T-OT-05,Security Camera,Data,0,IP surveillance camera location,
T-EQ-01,MDF / Server Room Rack,Telecom,0,Main distribution frame rack,
T-EQ-02,IDF Rack,Telecom,0,Intermediate distribution frame rack,
T-EQ-03,Patch Panel,Telecom,0,48-port Cat6A patch panel,
T-EQ-04,Network Switch,Network,0,48-port PoE managed switch,
T-EQ-05,UPS,Telecom,0,Uninterruptible power supply for telecom,
